comid,statistic,variable,year,month,value
3917176,mean,estimated,1950,1,13.449449423151
3917176,mean,estimated,1950,2,14.6023463970994
3917176,mean,estimated,1950,3,15.7274018517483
3917176,mean,estimated,1950,4,21.2796898819733
3917176,mean,estimated,1950,5,36.0842455489651
3917176,mean,estimated,1950,6,17.4725445225786
3917176,mean,estimated,1950,7,11.4311306357686
3917176,mean,estimated,1950,8,5.407899859109
3917176,mean,estimated,1950,9,10.3627994496274
3917176,mean,estimated,1950,10,28.5636187166716
3917176,mean,estimated,1950,11,30.1500284351572
3917176,mean,estimated,1950,12,48.5020266573654
3917176,mean,estimated,1951,1,33.2944429007613
3917176,mean,estimated,1951,2,46.0135874585729
3917176,mean,estimated,1951,3,30.4284738810301
3917176,mean,estimated,1951,4,27.4074475322863
3917176,mean,estimated,1951,5,35.7490792010235
3917176,mean,estimated,1951,6,15.5526688020336
3917176,mean,estimated,1951,7,6.98540987149949
3917176,mean,estimated,1951,8,4.71309163030498
3917176,mean,estimated,1951,9,8.11453525015102
3917176,mean,estimated,1951,10,11.3560537803448
3917176,mean,estimated,1951,11,13.6088662900908
3917176,mean,estimated,1951,12,17.3116067133451
3917176,mean,estimated,1952,1,22.6885004639693
3917176,mean,estimated,1952,2,34.2079642276683
3917176,mean,estimated,1952,3,32.8673284371372
3917176,mean,estimated,1952,4,40.5714467415077
3917176,mean,estimated,1952,5,68.2474517765913
3917176,mean,estimated,1952,6,39.6658734127778
3917176,mean,estimated,1952,7,18.6677401713523
3917176,mean,estimated,1952,8,9.72154677310096
3917176,mean,estimated,1952,9,13.0240636820221
3917176,mean,estimated,1952,10,13.6791157189297
3917176,mean,estimated,1952,11,14.8848225396884
3917176,mean,estimated,1952,12,11.4217919726026
3917176,mean,estimated,1953,1,26.2684040354856
3917176,mean,estimated,1953,2,36.416320721563
3917176,mean,estimated,1953,3,27.326869499648
3917176,mean,estimated,1953,4,25.9843774532829
3917176,mean,estimated,1953,5,54.4118985931199
3917176,mean,estimated,1953,6,40.2540295801241
3917176,mean,estimated,1953,7,31.6128739988174
3917176,mean,estimated,1953,8,10.3811374014269
3917176,mean,estimated,1953,9,12.4891618082267
3917176,mean,estimated,1953,10,10.4091032457173
3917176,mean,estimated,1953,11,14.3579377520619
3917176,mean,estimated,1953,12,17.8635615408218
3917176,mean,estimated,1954,1,30.1849253854175
3917176,mean,estimated,1954,2,38.5116136454104
3917176,mean,estimated,1954,3,31.8644969088375
3917176,mean,estimated,1954,4,29.947152119735
3917176,mean,estimated,1954,5,49.9642934184825
3917176,mean,estimated,1954,6,19.4189690039369
3917176,mean,estimated,1954,7,11.2753705598349
3917176,mean,estimated,1954,8,5.87622014841817
3917176,mean,estimated,1954,9,9.99053609807111
3917176,mean,estimated,1954,10,9.31650930054789
3917176,mean,estimated,1954,11,10.2379360181677
3917176,mean,estimated,1954,12,8.46244341639413
3917176,mean,estimated,1955,1,7.07736860900081
3917176,mean,estimated,1955,2,9.36210057817057
3917176,mean,estimated,1955,3,11.0691872224159
3917176,mean,estimated,1955,4,14.6324477761575
3917176,mean,estimated,1955,5,32.4124049230179
3917176,mean,estimated,1955,6,21.7521175162823
3917176,mean,estimated,1955,7,11.5416938269087
3917176,mean,estimated,1955,8,6.90339166759845
3917176,mean,estimated,1955,9,9.69480109370547
3917176,mean,estimated,1955,10,9.67220015953587
3917176,mean,estimated,1955,11,10.8001058838622
3917176,mean,estimated,1955,12,37.7014237953216
3917176,mean,estimated,1956,1,68.711885295677
3917176,mean,estimated,1956,2,45.8232862651058
3917176,mean,estimated,1956,3,47.2584844496246
3917176,mean,estimated,1956,4,48.6290446057246
3917176,mean,estimated,1956,5,77.4470444674051
3917176,mean,estimated,1956,6,43.2348209111956
3917176,mean,estimated,1956,7,19.4740588099259
3917176,mean,estimated,1956,8,10.6681374583674
3917176,mean,estimated,1956,9,15.0193820417289
3917176,mean,estimated,1956,10,16.0705216198981
3917176,mean,estimated,1956,11,15.6861824479395
3917176,mean,estimated,1956,12,10.5186374333265
3917176,mean,estimated,1957,1,9.07148220733733
3917176,mean,estimated,1957,2,42.5441424794616
3917176,mean,estimated,1957,3,26.3755932880286
3917176,mean,estimated,1957,4,31.0865385153376
3917176,mean,estimated,1957,5,43.5674646857262
3917176,mean,estimated,1957,6,24.1253006188302
3917176,mean,estimated,1957,7,9.89793720299708
3917176,mean,estimated,1957,8,5.32604684050908
3917176,mean,estimated,1957,9,12.6197403167202
3917176,mean,estimated,1957,10,17.6822561153641
3917176,mean,estimated,1957,11,16.6792006641652
3917176,mean,estimated,1957,12,21.2647634491725
3917176,mean,estimated,1958,1,35.9274312030895
3917176,mean,estimated,1958,2,117.177697557468
3917176,mean,estimated,1958,3,62.1084960635933
3917176,mean,estimated,1958,4,47.0948754952372
